epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.102,1.27378,4.07604,1.44487,0.03758,0.69956,0.08382,0.05182,1.22478,3.69886,1.25882,0.000137305,0.000137305,0.000137305
2,533.836,1.29146,3.13227,1.39275,0.29512,0.35979,0.22228,0.1403,1.32318,2.98973,1.36969,0.000248951,0.000248951,0.000248951
3,825.434,1.31517,2.66471,1.40704,0.45239,0.44503,0.33742,0.21477,1.33375,2.72753,1.3652,0.000333075,0.000333075,0.000333075
4,1103.46,1.31407,2.37818,1.39724,0.46955,0.50692,0.46494,0.29093,1.32417,2.39627,1.34383,0.000293151,0.000293151,0.000293151
5,1385.96,1.25342,2.20582,1.34897,0.53891,0.54149,0.50509,0.30943,1.27264,2.20233,1.32807,0.000251868,0.000251868,0.000251868
6,1679.13,1.24912,2.0257,1.35472,0.53245,0.61287,0.58959,0.36552,1.27382,2.05071,1.33353,0.000210585,0.000210585,0.000210585
7,1930.99,1.19976,1.89559,1.31834,0.57259,0.63406,0.61812,0.40104,1.23761,1.98661,1.28393,0.000169302,0.000169302,0.000169302
8,2138.5,1.17714,1.73099,1.31037,0.65434,0.66723,0.70471,0.46846,1.21839,1.85571,1.27676,0.000128019,0.000128019,0.000128019
9,2344.02,1.1617,1.67169,1.29388,0.67923,0.67611,0.71316,0.47912,1.16994,1.78835,1.24094,8.6736e-05,8.6736e-05,8.6736e-05
10,2551.61,1.14542,1.58709,1.2833,0.69775,0.68441,0.75249,0.50481,1.21925,1.7787,1.27194,4.5453e-05,4.5453e-05,4.5453e-05
